,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,total_yield,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
28,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,DG,2023-08-16,2,0,0.34210526315789475,-167.99400219980794,-141.86814389292317,-163.1917,-130.98915,9.35349326292702,620,True,169.0,57.0
29,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,LP,2023-08-16,0,0,0.34210526315789475,,,-163.1917,-130.98915,0.0,620,True,169.0,57.0
30,92822789-608f-44a6-ad64-fe549402b2df,ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,probe00,churchlandlab_ucla,MFD_05,UCLA,Lab 10,PO,2023-08-16,0,0,0.34210526315789475,,,-163.1917,-130.98915,0.0,620,True,169.0,57.0
31,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,PPC,2021-05-19,42,3,0.3446327683615819,-165.5549656034189,-136.00485319700616,-179.61028,-146.18665,20.56324430335885,733,True,150.0,46.0
32,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,CA1,2021-05-19,56,1,0.3446327683615819,-155.36743871888578,-125.79141261981701,-157.08482,-120.05952,15.844562602092255,733,True,150.0,46.0
33,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,DG,2021-05-19,52,7,0.3446327683615819,-156.10787839586226,-133.56131825510582,-152.49742,-123.05541,17.640394039547555,733,True,150.0,46.0
34,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,LP,2021-05-19,60,37,0.3446327683615819,-185.7214668757113,-163.65275820159832,-170.04773,-137.73196,20.443340128017745,733,True,150.0,46.0
35,f4bd76a6-66c9-41f3-9311-6962315f8fc8,72cb5550-43b4-4ef0-add5-e4adfdfb5e02,probe00,mainenlab,ZFM-02369,CCU,Lab 2,PO,2021-05-19,94,68,0.3446327683615819,-185.2969456526836,-170.12529466469326,-172.57938,-141.22655,25.713870796019563,733,True,150.0,46.0
36,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,PPC,2022-03-31,0,0,0.33236994219653176,,,-172.57938,-141.22655,0.0,610,True,380.0,185.0
37,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,CA1,2022-03-31,56,9,0.33236994219653176,-162.84467124321264,-136.55168423716145,-156.84935,-129.3346,12.50208562016101,610,True,380.0,185.0
38,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,DG,2022-03-31,66,9,0.33236994219653176,-154.91871221345764,-130.63003962175694,-151.93335,-123.63694,13.781855134718063,610,True,380.0,185.0
39,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,LP,2022-03-31,18,19,0.33236994219653176,-184.29647251298613,-159.67474467552952,-159.84348,-133.5742,14.891297336720283,610,True,380.0,185.0
40,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,churchlandlab_ucla,UCLA015,UCLA,Lab 10,PO,2022-03-31,0,0,0.33236994219653176,,,-159.84348,-133.5742,0.0,610,True,380.0,185.0
41,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,PPC,2020-10-20,0,0,0.6594594594594595,,,-159.84348,-133.5742,0.0,660,True,128.0,27.0
42,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,CA1,2020-10-20,26,4,0.6594594594594595,-160.60150506376527,-137.72561946712315,-164.73839,-131.63345,16.822232280099,660,True,128.0,27.0
43,e31b4e39-e350-47a9-aca4-72496d99ff2a,746d1902-fa59-4cab-b0aa-013be36060d5,probe00,mainenlab,ZFM-01592,CCU,Lab 2,DG,2020-10-20,62,10,0.6594594594594595,-154.87400634429196,-129.55510922003225,-154.6627,-120.136185,16.770225743918715,660,True,128.0,27.0
