,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap,rms_ap_p90
28,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,DG,2021-06-08,58,9.0,1.179196985671679,3.0723739932797165,153.03954493693215,,0.4594859960857823,20.106104952976487,-127.02674,-150.4244,"[2, 15]","[20, 80]",4909115.0,21.0
29,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,LP,2021-06-08,56,24.0,3.6193979928272544,5.3736935416339255,145.2545942500174,162.64723557692307,0.4457381697559614,19.199757473881032,-145.42857,-163.17502,"[2, 15]","[20, 80]",5906199.5,21.0
30,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,PO,2021-06-08,90,68.0,5.52143606858581,6.11103456142165,138.71043271514577,163.92765410958896,0.42168182686440714,18.491831738118286,-149.59462,-165.45131,"[2, 15]","[20, 80]",7402656.0,21.0
31,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,PPC,2020-09-16,40,0.0,,,,,,,-149.54858,-191.4213,"[2, 15]","[20, 80]",2795493.8,21.4
32,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,CA1,2020-09-16,52,9.0,2.6985888118758603,3.288417196029174,182.96538743054532,,0.4882190296125837,25.78559501597282,-132.47862,-164.28305,"[2, 15]","[20, 80]",7090584.5,21.4
33,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,DG,2020-09-16,96,2.0,3.8300151761313157,3.8300151761313157,168.64769345238093,216.78664434523805,0.5138643487925615,22.50744047619047,-122.153114,-152.42268,"[2, 15]","[20, 80]",7067709.5,21.4
34,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,LP,2020-09-16,84,68.0,2.1202322835541096,2.9188656001566677,157.7432728543529,,0.5070391096419501,20.379926272565747,-138.94417,-169.89558,"[2, 15]","[20, 80]",7056762.0,21.4
35,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,PO,2020-09-16,70,55.0,3.5770607550453577,3.8210538714303492,131.4608049854832,,0.4973153184889532,16.307208031047942,-142.13889,-172.92026,"[2, 15]","[20, 80]",7379848.0,21.4
36,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,PPC,2020-07-07,100,32.0,1.277727974543907,3.1067361466679078,144.81644638262244,,0.4904625914000076,19.933775427997652,-154.76105,-184.0694,"[2, 15]","[20, 80]",15.865404,21.2
37,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,CA1,2020-07-07,46,3.0,2.5602217384092927,3.6523817912481285,139.0121950705175,177.1705612305148,0.4512945755205346,18.79318252749849,-138.65834,-166.57512,"[2, 15]","[20, 80]",18.492418,21.2
38,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,DG,2020-07-07,50,1.0,0.00397149110123213,0.00397149110123213,,,,,-123.88567,-154.40038,"[2, 15]","[20, 80]",23.750135,21.2
