,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,lfp_power_high,lfp_band_high,rms_ap_p90
77,c4f6665f-8be5-476b-a6e8-d81eeae9279d,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,CA1,2020-03-12,56,10,-185.13982,"[20, 80]",13.91466803489012
78,c4f6665f-8be5-476b-a6e8-d81eeae9279d,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,DG,2020-03-12,62,2,-188.18767,"[20, 80]",10.20710238504299
79,c4f6665f-8be5-476b-a6e8-d81eeae9279d,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,LP,2020-03-12,16,0,-198.30547,"[20, 80]",9.842660341243452
80,c4f6665f-8be5-476b-a6e8-d81eeae9279d,e535fb62-e245-4a48-b119-88ce62a6fe67,probe00,danlab,DY_013,PO,2020-03-12,0,0,,"[20, 80]",0.0
81,57656bee-e32e-4848-b924-0f6f18cfdfb1,a66f1593-dafd-4982-9b66-f9554b6c86b5,probe00,zadorlab,CSH_ZAD_022,PPC,2020-05-23,96,9,-181.03925,"[20, 80]",15.551071733879237
82,57656bee-e32e-4848-b924-0f6f18cfdfb1,a66f1593-dafd-4982-9b66-f9554b6c86b5,probe00,zadorlab,CSH_ZAD_022,CA1,2020-05-23,62,7,-169.62302,"[20, 80]",18.17646771494876
83,57656bee-e32e-4848-b924-0f6f18cfdfb1,a66f1593-dafd-4982-9b66-f9554b6c86b5,probe00,zadorlab,CSH_ZAD_022,DG,2020-05-23,28,0,-158.45769,"[20, 80]",15.942249762025204
84,57656bee-e32e-4848-b924-0f6f18cfdfb1,a66f1593-dafd-4982-9b66-f9554b6c86b5,probe00,zadorlab,CSH_ZAD_022,LP,2020-05-23,0,0,,"[20, 80]",0.0
85,57656bee-e32e-4848-b924-0f6f18cfdfb1,a66f1593-dafd-4982-9b66-f9554b6c86b5,probe00,zadorlab,CSH_ZAD_022,PO,2020-05-23,0,0,,"[20, 80]",0.0
86,1a60a6e1-da99-4d4e-a734-39b1d4544fad,51e53aff-1d5d-4182-a684-aba783d50ae5,probe00,angelakilab,NYU-45,PPC,2021-07-19,72,14,-185.89542,"[20, 80]",11.969732113744652
87,1a60a6e1-da99-4d4e-a734-39b1d4544fad,51e53aff-1d5d-4182-a684-aba783d50ae5,probe00,angelakilab,NYU-45,CA1,2021-07-19,56,14,-172.14742,"[20, 80]",13.690019147349979
88,1a60a6e1-da99-4d4e-a734-39b1d4544fad,51e53aff-1d5d-4182-a684-aba783d50ae5,probe00,angelakilab,NYU-45,DG,2021-07-19,76,9,-159.99654,"[20, 80]",15.375037113003888
89,1a60a6e1-da99-4d4e-a734-39b1d4544fad,51e53aff-1d5d-4182-a684-aba783d50ae5,probe00,angelakilab,NYU-45,LP,2021-07-19,56,33,-176.87798,"[20, 80]",16.73141885731521
90,1a60a6e1-da99-4d4e-a734-39b1d4544fad,51e53aff-1d5d-4182-a684-aba783d50ae5,probe00,angelakilab,NYU-45,PO,2021-07-19,96,48,-180.47101,"[20, 80]",23.283347570654907
91,5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,angelakilab,NYU-48,PPC,2021-06-28,20,1,-165.08064,"[20, 80]",8.035256192516972
92,5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,angelakilab,NYU-48,CA1,2021-06-28,50,3,-159.95784,"[20, 80]",10.576993627792746
93,5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,angelakilab,NYU-48,DG,2021-06-28,44,64,-155.81795,"[20, 80]",13.02386157741915
94,5246af08-0730-40f7-83de-29b5d62b9b6d,c51f34d8-42f6-4c9c-bb5b-669fd9c42cd9,probe00,angelakilab,NYU-48,LP,2021-06-28,64,21,-163.60773,"[20, 80]",12.881907757373252
