,pid,eid,probe,lab,subject,region,date,n_channels,neuron_yield,median_firing_rate,mean_firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap,rms_ap_p90
26,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,PPC,2021-06-08,64,4.0,2.132567363502446,6.454379180588017,82.09081443975947,88.9453125,0.45081757274140893,21.690553034338006,-149.66661,-165.77777,"[2, 15]","[20, 80]",3826712.5,21.0
27,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,CA1,2021-06-08,52,2.0,4.660355783850982,4.660355783850982,82.84598214285714,95.39174107142856,0.3385939814290867,9.609375000000004,-133.54666,-156.21228,"[2, 15]","[20, 80]",4240013.5,21.0
28,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,DG,2021-06-08,58,9.0,1.179196985671679,3.0723739932797165,204.81158417394468,420.44866071428555,0.4164537408680849,49.295623971408354,-127.02674,-150.4244,"[2, 15]","[20, 80]",4909115.0,21.0
29,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,LP,2021-06-08,56,24.0,3.6193979928272544,5.3736935416339255,212.5228753320915,349.9807459200567,0.5625500743525217,31.72774855442994,-145.42857,-163.17502,"[2, 15]","[20, 80]",5906199.5,21.0
30,b25799a5-09e8-4656-9c1b-44bc9cbb5279,d2832a38-27f6-452d-91d6-af72d794136c,probe00,wittenlab,ibl_witten_29,PO,2021-06-08,90,68.0,5.52143606858581,6.11103456142165,236.63028803722477,401.6467840021305,0.42168647469156156,33.69735522032497,-149.59462,-165.45131,"[2, 15]","[20, 80]",7402656.0,21.0
31,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,PPC,2020-09-16,40,0.0,,,,,,,-149.54858,-191.4213,"[2, 15]","[20, 80]",2795493.8,21.4
32,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,CA1,2020-09-16,52,9.0,2.6985888118758603,3.288417196029174,235.3944200672357,464.7017045454544,0.4397718140371569,41.1343529701798,-132.47862,-164.28305,"[2, 15]","[20, 80]",7090584.5,21.4
33,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,DG,2020-09-16,96,2.0,3.8300151761313157,3.8300151761313157,167.56425665680473,174.95955066568044,0.35041781904899394,23.70099852071005,-122.153114,-152.42268,"[2, 15]","[20, 80]",7067709.5,21.4
34,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,LP,2020-09-16,84,68.0,2.1202322835541096,2.9188656001566677,243.9860075409173,441.1917613636363,0.529996937946282,33.952589115911536,-138.94417,-169.89558,"[2, 15]","[20, 80]",7056762.0,21.4
35,c17772a9-21b5-49df-ab31-3017addea12e,6f09ba7e-e3ce-44b0-932b-c003fb44fb89,probe01,hoferlab,SWC_043,PO,2020-09-16,70,55.0,3.5770607550453577,3.8210538714303492,273.1154422169733,572.645089285714,0.4622623042402359,39.002905785485424,-142.13889,-172.92026,"[2, 15]","[20, 80]",7379848.0,21.4
