,eid,probe,lab,subject,region,date,n_channels,neuron_yield,firing_rate,spike_amp_mean,spike_amp_90,pt_ratio,rp_slope,lfp_power_low,lfp_power_high,lfp_band_low,lfp_band_high,rms_ap
35,f312aaec-3b6f-44b3-86b4-3a0c119c0438,probe00,churchlandlab,CSHL058,PO,2020-07-07,49,39.0,6.088219052711005,212.7730200887266,317.632447850064,0.4314615241884431,29.863403461603067,-151.36769,-177.79831,"[2, 15]","[20, 80]",25.081854
36,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,VISa,2020-03-06,0,,,,,,,,,"[2, 15]","[20, 80]",
37,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,CA1,2020-03-06,41,9.0,4.128015525311781,123.49981360594727,175.56801226790458,0.37586728801006575,22.62082023698538,-123.446724,-157.05507,"[2, 15]","[20, 80]",21.797892
38,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,DG,2020-03-06,54,6.0,14.302278153824387,199.76787397099372,382.62481165220345,0.42575225792642923,45.00742821531326,-115.996635,-147.27278,"[2, 15]","[20, 80]",26.847502
39,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,LP,2020-03-06,44,19.0,3.90828779803201,174.08057153125424,232.2373218790255,0.5586356818155728,28.874054796424257,-129.4282,-164.72433,"[2, 15]","[20, 80]",21.037405
40,dda5fc59-f09a-4256-9fb5-66c67667a466,probe00,churchlandlab,CSHL059,PO,2020-03-06,0,,,,,,,,,"[2, 15]","[20, 80]",
41,ee40aece-cffd-4edb-a4b6-155f158c666a,probe00,mainenlab,ZM_2241,VISa,2020-01-30,62,60.0,4.839313437167346,224.3089303701506,,0.39182304876859697,40.78461591851456,-154.22885,-184.93414,"[2, 15]","[20, 80]",17.86163
42,ee40aece-cffd-4edb-a4b6-155f158c666a,probe00,mainenlab,ZM_2241,CA1,2020-01-30,44,8.0,6.263627009138621,205.3813936427194,344.25383444393367,0.48219946478855447,35.51343652963955,-134.8364,-164.95564,"[2, 15]","[20, 80]",19.350386
43,ee40aece-cffd-4edb-a4b6-155f158c666a,probe00,mainenlab,ZM_2241,DG,2020-01-30,59,5.0,7.246710707619909,123.94836924962692,146.20943509615384,0.5135403228260619,16.515215255510096,-122.24489,-153.49852,"[2, 15]","[20, 80]",23.721432
44,ee40aece-cffd-4edb-a4b6-155f158c666a,probe00,mainenlab,ZM_2241,LP,2020-01-30,51,29.0,5.801846383526698,176.16369537989232,354.2769589690415,0.48335114732979945,23.33779593586908,-139.9216,-172.52136,"[2, 15]","[20, 80]",19.314224
